,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-5843518165523212471,A saga do jovem CEO da Dasa,Dasa compra maior rede de laboratórios do Nordeste,Onde a tecnologia e o cuidado se encontram? - Saúde Business,The omnichannel customer experience is poised to take off in regulated industries,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift
-5839185923562195912,What's the Version of my Deployed Application? - DZone DevOps,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%)
-5833012379380837354,Rakuten é premiada como melhor plataforma de e-commerce do varejo brasileiro,Taco Bell chega ao Brasil no segundo semestre desse ano,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016,Marketplace,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Build Apps Faster with Salesforce - Webinar
-5829979886567267504,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"The new, scary face of auto insurance",The new tech talent you need to succeed in digital,Mobile Time,6 exemplos de como usar computação cognitiva | EXAME.com
-5826278791285476287,"""We only hire the best"" - Signal v. Noise",The best-and worst-places to be a working woman,7 lessons about finding the work you were meant to do,Accept questions from your audience when presenting in Google Slides,The Hateful Eight (2015),Everything you need to know about the big changes coming to Newark airport
-5813211845057621660,Communication patterns in a Microservice world,Arquitetura de Microserviços habilitando APIs - Sensedia,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,What makes a good (Android) Software Engineer,How to build cross-platform mobile apps using nothing more than a JSON markup
-5799839529845993396,"""Não, você não aceita a homossexualidade ainda...""",MG promove até dia 15 conferência sobre diversidade sexual e cidadania LGBT,Google HR chief Laszlo Bock leaving to launch startup,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Brasileira do rúgbi é pedida em casamento durante premiação
-5791454671270548045,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,To bot or not to bot,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-5784991738549272379,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,Amazon just released a Dash button for AWS IoT,One Dollar Board: Um projeto brasileiro para revolucionar a educação,How to finish 3D printed PLA objects
-5784228041033890044,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Videos] This fake TED Talk about nothing might be the best you've ever seen,[Framework] Lean IT Governance
-5781461435447152359,"Inbox by Gmail: a better way to keep track of events, newsletters and links",Google is quietly recording everything you say. Here's how to hear it,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery",OpenVpn rodando com Docker no Raspberry Pi,"Google Drive grows more powerful, feature by feature - TechRepublic",The 'impossible' is now a reality
-5778988730475305016,Artificial intelligence is changing SEO faster than you think,Artificial Intelligence's White Guy Problem,Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The return of the machinery question,7 lessons about finding the work you were meant to do
-5756697018315640725,Being A Developer After 40 - Free Code Camp,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",What Pinterest learned in two years working on its search engine,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To bot or not to bot,Ordering coffee in Italy: the 10 commandments
-5736221996280340620,How Coca-Cola Is Harvesting Innovation Energy From Startups,Top 30 Commonly Confused Words in English,Portugal runs for four days straight on renewable energy alone,These Are The 10 Most Purchased Brands in the World,Google Ranking Factors: The Complete List,Live asynchronously.
-5729915270134094048,"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,Introducing Kotlin support in Spring Framework 5.0,Taking Microservices Home - NGINX,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
-5690023155612846030,O futuro das interfaces: Chatbots - Tableless,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Building immutable entities into Google Cloud Datastore,Aplicações da Inteligência artificial | Endeavor Brasil,Machine Learning and the VP Debate
-5684357871122991503,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,The surprising truth about which countries lead in digital,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com,The new tech talent you need to succeed in digital,Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search
-5679427141235752819,Research at Google,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Behind Facebook Messenger's plan to be an app platform,Introducing JQL: A Query Language for Analytics,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science
-5658245291907121574,Machine Learning and the VP Debate,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Steve Jobs Was Proud to Steal Ideas,Gmail API: New endpoints for settings,5 reasons your employees aren't sharing their knowledge,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool
-5636731245639685654,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,How to Create an Exponential Mindset,Cientistas trabalham em técnica que permite imprimir alimentos,The future of agriculture - Jim Womack visits a lean farm
-5628897645967553681,The Genderbread Person v3 | It's Pronounced Metrosexual,Introducing Ask a Female Engineer,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Write Like You Talk
-5625593730080264433,The next wave in software is open adoption software,A new sales technology stack is coming,Microsoft's Open Source Love Affair Reaches New Heights,Announcing pricing for Google Stackdriver,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Docker 1.12: Now with Built-in Orchestration!
-5618100784509704440,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Características de Arquiteturas Evolutivas,React Native v0.32.0-rc.0 released
-5605799891597699962,Concrete things you can do about your technical debt,The sales secrets of high-growth companies,Don't document your code. Code your documentation.,Como testar exceções em Java com o JUnit - Code a Test,"DevOps security requires new mindset and tools for visibility, automation",Mastering Bash and Terminal
-5602127731550819348,The Top 10 Most Common Mistakes That Node.js Developers Make,Docker Cleanup Scripts Comparison,The future of SaaS hosted git repository pricing,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,GitHub on BigQuery: Analyze all the open source code,Tendências do Marketing de Conteúdo 2016
-5579492244806284582,"[Tools] Personal Kanban in ""Favro""",Evernote anuncia integração com Google Drive | Google Discovery,Top 5 GCP NEXT breakout sessions on YouTube (so far),We spent a week making Trello boards load extremely fast. Here's how we did it.,[Tools] XMind Plus - Last Chance for students' 1$ gift,[Security] How to Set Expiration Dates for Shared Google Drive Files
-5571606607344218289,Agile: Falta competência nos testes,Como Usar o Git e o GitHub,Top 5 Android Testing Frameworks with Examples,Blockchain won't kill banks: Bitcoin pioneer,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú","Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api"
-5570129644089964821,Design Kit: Prototyping,MOBILE TIME - Nascem os primeiros chatbots brasileiros,The #digital upstarts offering app-only #banking for smartphone users #benchmark,Conversational Banking; from branches to bots. - Chatbots Magazine,"Amazon looking to buy Capital One? "" Banking Technology",Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
-5527182266336855540,40 Basic Japanese conversations,Japanese for dummies,The Great Library,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Platform Overview,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels
-5515204090203464377,A step-by-step guide to agile growth experiments,Skully officially admits it's over,Unilever Buys Dollar Shave Club for $1 Billion,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth
-5507019982244746725,What to Inspect When You are Inspecting!,Serverless Architectures,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java,The Internet of Things is looking for its VisiCalc,Google is testing a new Material Design layout for desktop searches,Bringing Pokémon GO to life on Google Cloud
-5500597021296520708,"Google Drive grows more powerful, feature by feature - TechRepublic","contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object","Inbox by Gmail: a better way to keep track of events, newsletters and links",Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery"
-5491334714953807444,20+ Docs and Guides for Front-end Developers (No. 9),Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,CSS Containment in Chrome 52 | Web Updates - Google Developers
-5488842573681626972,BDD Best Practices and Guidelines - Testing Excellence,Como Usar o Git e o GitHub,Java 9 na prática: Jigsaw,Sua comunidade de Teste.,Dicas avançadas de ruby (capybara/cucumber),3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web
-5464698687596686623,IBM's Watson aims to make hospital stays suck a whole lot less,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Cognitive Services-Intelligence Applications | Microsoft Azure,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft's Open Source Love Affair Reaches New Heights,Can virtual reality revolutionise education?
-5446204508747882127,bliki: StranglerApplication,Creating Your Code Review Checklist - DaedTech,Dr. consulta: uma revolução no setor da saúde,The Ultimate Solution to Versioning REST APIs: Content Negotiation,The hardest thing in computer science,On DRY and the cost of wrongful abstractions
-5431549861280885742,Coder | Drupal.org,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Paragraphs,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
-5414889822782394955,6 exemplos de como usar computação cognitiva | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Mobile Time,The new tech talent you need to succeed in digital,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
-5410531116380081703,Meet the new Brazilian consumer,Especial: 5 startups brasileiras que podem tornar-se Unicórnios,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The sales secrets of high-growth companies,IBM makes a big shift into cognitive computing
-5403733687257676872,Aplicações da Inteligência artificial | Endeavor Brasil,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Building immutable entities into Google Cloud Datastore,Machine Learning and the VP Debate,O futuro das interfaces: Chatbots - Tableless
-5386512752101672374,18 frases que as mulheres precisam parar de falar umas para as outras - UOL Estilo de vida,"020 - Carine Roos: 33 dias sem machismo, MariaLab, Upwit e os desafios das mulheres na tecnologia",De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,The Language of Beauty Ads,Google employees are adding 'Lady' to their job titles to fight sexism
-5380376324140474506,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Apple gives devs the chance to harness power of neural networks,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",New MacBook Pro is not a Laptop for Developers Anymore,Berners-Lee quer criar outra Web,The future of SaaS hosted git repository pricing
-5363263367015469934,Scala is the new golden child,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,Google's Cloud Machine Learning service is now in public beta,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",New Sessions Added To Google I/O 2016 Schedule
-5361115220834660562,Uber's first self-driving cars will start picking up passengers this month,Qual é o país mais inovador do mundo?,"The Languages, Frameworks and Tools You Should Learn in 2017",Android Developers Summer Reading List,Google's artificial intelligence is going in the wrong direction,Today in Apple history: Steve Jobs passes away | Cult of Mac
-5322047011520469406,The Democratization of Innovation for the Internet of Things,LukeW | Obvious Always Wins,Amazon now has a programmable Dash Button for the IoT,"Android N Developer Preview 2, out today! | Android Developers Blog",Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7"
-5319401396891346003,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,Google começa a preparar o Android para a chegada do Assistant | Google Discovery,Introducing Casting into Hangouts,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Google's Hangouts still has a future: as an enterprise communication app,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery"
-5313466754735123256,Introducing Google Container Engine (GKE) node pools,Paragraphs,Cross-channel user experiences with Drupal (awesome video demo!),"Big data, big differentiators: this week on Google Cloud Platform",Machine learning at the museum: this week on Google Cloud Platform,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform"
-5297634649735765167,Google is quietly making progress on one of its most jaw-dropping tech projects,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",Former NASA chief unveils $100 million neural chip maker KnuEdge,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Chrome OS now has Material Design for the desktop,Google lança YouTube Kids no Brasil | Google Discovery
-5283011611531067471,Dries Distributions remain a growing opportunity for Drupal - Buytaert,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,"Thunder, a Drupal distribution for publishers",20 Awesome PHP Libraries For Early 2017
-5283009029345397378,Microservices Architecture on Google App Engine,Reactive log stream processing with RxJava - Part I,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Taking Microservices Home - NGINX,Migrating to the New Java 8 Date Time API | Baeldung,Google Cloud Platform's preemptible VMs are now up to 33% cheaper
-5255285107284514595,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Skully officially admits it's over,Conheça a patente do Google que prevê entregas por drones - Startupi,Grow fast or die slow: Focusing on customer success to drive growth
-5253644367331262405,"Hello, TensorFlow!",The AI business landscape,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds","DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Google Calendar for Android can now find meeting times that work for everyone,Why Google App Engine rocks: A Google engineer's take
-5214997228209357198,[Tools] Planejamento Pessoal a Vista,[Books] Biblioteca FIXE: Sugestões de Leitura,Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search,O RH chega ao board,8 Best Machine Learning Cheat Sheets
-5198756378866433953,Who sponsors Drupal development? | Dries Buytaert,Cognizant Named a Digital Transformation Leader in the Life Science Industry,How AWS came to be,Globant acquires WAE to continue advancing in the creation of digital journeys,Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together
-5193720747719231594,#FinTech is all about human-centred design - Chris Skinner's blog,O tênue equilíbrio da equipe que desenha produtos digitais,Chatbots: Are they better without the chat?,Críticas de design: dizendo as coisas que precisam ser ditas,How Mature is Your Organization when it Comes to UX?,Campus São Paulo: conheça a primeira turma do Programa de Residentes
-5181489804915739633,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,What SWAG will Google I/O 2016 attendees take home?,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Exclusive: Why Microsoft is betting its future on AI
-5170198873410718233,NTT to buy Dell's services division for $3.05 billion,Unilever Buys Dollar Shave Club for $1 Billion,GE Digital snags ServiceMax for $915 million,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",The barbell effect of machine learning.,Two Different Sales Motions . . . .
-5161313513317812402,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",Apple is working on an AI system that wipes the floor with Google and everyone else,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Joel on Software,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
-5154395767417065070,Innovation is in all the wrong places,The Competitive Landscape for Machine Intelligence,Understanding the Twitter topic Tracker,Exclusive: Why Microsoft is betting its future on AI,This Super Accurate Portrait Selection Tech Uses Neural Networks,The emerging Darwinian approach to analytics and augmented intelligence
-5150441845583002912,5 formas de tornar-se um Mestre em planejamento com o Portfolio for JIRA,[eBook] Enxugando a máquina - Paulo Caroli,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",NTT to buy Dell's services division for $3.05 billion,Onde está o duplo diamante do DT em projetos ágeis,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera
-5148591903395022444,Anti-If: The missing patterns,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Berners-Lee quer criar outra Web,Chrome OS now has Material Design for the desktop,You don't talk about refactoring club,What Color is Your Function?
-5088157426675091741,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",Uma arquitetura de referência para a Internet das Coisas - Parte 1,Nova pulseira tecnológica avisa se você já bebeu demais,Webinar: A Internet das Coisas no Brasil,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom
-5086435085468197402,From Google to the world: the Kubernetes origin story,"Secret's founder returns with Bold, a Medium for enterprise","Franz - from idea to 10,000 daily active users in 26 days - Meet Franz",The AI business landscape,Teaching machines to predict the future,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-5082274522455747241,"SINAIS do FUTURO imediato: #1, internet das coisas",Building an Angular 2 Application for Production,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,A Baseline for Hybrid Mobile Developers,Qualcomm's deep learning SDK will mean more AI on your smartphone,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
-5078536505040226358,Nintendo to Release Mini NES with 30 Pre-Loaded Games in November!,Elasticsearch: CSV exporter for Kibana Discover,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Novo Honda Civic é eleito o carro mais seguro dos EUA,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView
-5065077552540450930,Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,An incumbent's guide to digital disruption,Itaú vende carteira de vida para Prudential | Sonho Seguro,InsurTech: changing the world of risk - Chris Skinner's blog,CNseg anuncia os finalistas da 6ª edição do Prêmio de Inovação em Seguros - Sonho Seguro,Making digital strategy a reality in insurance
-5044204125574973395,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Empresas intensificam operações de barter diante da dificuldade de crédito,Apple and Google Are Teaming Up to Kill Robocalls Forever,How to finish 3D printed PLA objects
-5039153034159656707,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Falling for Web Components,Não existe frete grátis!,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Taco Bell chega ao Brasil no segundo semestre desse ano
-5037827401452845772,Quando o Scrum irá falhar - Tableless,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",Introducing DeepText: Facebook's text understanding engine,Microsoft and HackerRank bring executable code snippets to Bing's search results pages,Accidental discovery could help batteries last years longer,Vision API - Image Content Analysis
-5027816744653977347,"Apple acquires Turi, a machine learning company",Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",DeepMind moves to TensorFlow,New Sessions Added To Google I/O 2016 Schedule,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-5024561776910686117,How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science,Designing smart notifications,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,New Sessions Added To Google I/O 2016 Schedule
-5014627593450767720,Drupal and ambitious digital experiences,"There will be a Drupal 9, and here is why",Hacked Website Report - 2016/Q3,Dries Buytaert: Advancing Drupal's web services,14 Cool Drupal 8 modules for site builders | August 2016,WeChat's competitor to Slack has arrived
-5011709367955107239,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Here's How L'Oréal Plans To Continue Its Digital Innovation,Meet the new Brazilian consumer,Conselho da SABMiller aceita proposta de compra da AB InBev,Elasticsearch: CSV exporter for Kibana Discover,Gartner Reprint
-5002383425685129595,Changing change management,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Apple and Google Are Teaming Up to Kill Robocalls Forever,The economic essentials of digital strategy,"Microsoft adquire LinkedIn por US$ 26,2 bilhões"
-4996336942690402156,Live asynchronously.,Client-side ranking to more efficiently show people stories in feed,O manual do deboísta corporativo,Mimo baby monitor helps parents get more sleep,Seniority,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet"
-4974757204495953627,Alecrim/AlecrimCoreData,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-4944551138301474550,Algorithms and architecture for job recommendations,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",AI Is Here to Help You Write Emails People Will Actually Read
-4921088466135297415,What the JIT!? Anatomy of the OpenJDK HotSpot VM,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",Revista PROGRAMAR nº 53 - Agosto de 2016,Spring DAO vs Spring ORM vs Spring JDBC,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos
-4888170580455425266,Speeding up ReSharper (and Visual Studio),The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,'We've realized a ten-year strategy goal in one year'
-4875060556471576861,Jenkins 2.0 is here!,Windows Subsystem for Linux Overview,"GitHub broke my 1,000 day streak - Free Code Camp",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,4 Blockchain Macro Trends: Where to Place Your Bets,"Dropbox open-sources Lepton, a compression algorithm that cuts JPEG file size by 22%"
-4872447160271266802,Campanha do Dicionário Houaiss pretende mudar a definição de família,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Estudante de Direito dá lição em colegas após virar piada entre eles,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Amor sem fronteiras: série de fotos retrata casais gays pelo mundo,"No dia das mães, Avon lança campanha com mãe de jovem gay"
-4844663695104994694,How to create Trello cards from Slack.,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth,The AI business landscape,DeepMind moves to TensorFlow
-4833307637594287163,Failing model: Plastic Card + App and Card + Wallet Players?,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Dinheiro pode sair de circulação na Suécia até 2030,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Mobile Time,Chatbots: Are they better without the chat?
-4831310174172854034,Standing on the Shoulders of Giants - Built to Adapt,How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,"Kotlin in Production - What works, Whats broken",Taking Microservices Home - NGINX,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
-4798431998955209742,What Color is Your Function?,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",You don't talk about refactoring club,Apple is working on an AI system that wipes the floor with Google and everyone else,Alecrim/AlecrimCoreData,Tech in Brazil is booming despite the country's political troubles
-4770861947600256785,Unilever Buys Dollar Shave Club for $1 Billion,Skully officially admits it's over,These gloves can convert sign language into spoken English,A step-by-step guide to agile growth experiments,Grow fast or die slow: Focusing on customer success to drive growth,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-4767439283620384185,NetBeans Day Brasil 2016,Assessing Salesforce's platform and ecosystem | ZDNet,IBM Watson e a revolução pela inteligência artificial | Udacity,Top Programming Languages Trends: The Rise of Big Data,"Parece árvore, mas é uma turbina eólica",Kickstarter 3D printer will print circuit boards as part of your designs
-4765711818183276269,Google lags behind Amazon and Microsoft's cloud in one important area,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",What SWAG will Google I/O 2016 attendees take home?
-4754223659064624252,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,You don't talk about refactoring club,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Prototypal Object-Oriented Programming using JavaScript,World's Fastest Growing Open Source Platform Pushes Out New Release
